100%|██████████| 6069/6069 [15:39<00:00,  6.46it/s]
+---------------+-----------------+-------------------+------------------+------+-------+----------+-----------+-------+----------------+------+------+-----+------------------+
|      Name     |        sp       |         ra        |       dec        | teff |  vmag | distance |  diameter |  rot  | Hrs of X < 1.5 | N<15 | N<12 | N<9 |      Start       |
|   HD 165910   |       A2Vn      | 271.9514712393478 | 13.0711104992273 | 9550 | 6.597 | 248.1574 |     --    | 254.0 |      6.0       |  2   |  1   |  0  | 2022-06-20 21:28 |
|   HD 171487   |       A3V       |  278.581544555038 | 20.4663977105684 | 8650 |  6.57 | 136.8663 |     --    | 259.0 |      6.9       |  2   |  0   |  0  | 2022-06-20 21:28 |
|   HD 173494   |       F6V       | 281.1678990142131 | 23.5898833688601 | 6820 | 6.302 | 47.1961  |     --    |   --  |      7.2       |  2   |  0   |  0  | 2022-06-20 21:28 |
|   HD 170878   |       A2V       | 277.7685370912437 | 16.9285562569298 | 9397 |  5.75 | 125.1768 |     --    | 272.0 |      6.5       |  2   |  0   |  0  | 2022-06-20 21:34 |
|   HD 191195   |       F5V       | 301.5576914288578 | 53.1656872389906 | 6730 |   --  | 36.7915  |     --    |  10.0 |      9.7       |  3   |  0   |  0  | 2022-06-20 21:34 |
|  V* V535 Her  |    A1VpSiHgMn   | 281.3984089296035 | 21.9846793927217 | 9000 | 6.522 | 254.2847 | 5460000.0 |  33.0 |      7.0       |  2   |  0   |  0  | 2022-06-20 21:34 |
|   *   3 Peg   |       A2V       | 324.4318567505989 | 6.6183903838266  | 9311 | 6.177 | 88.2971  |     --    | 102.6 |      5.1       |  2   |  1   |  1  | 2022-06-20 21:40 |
|   *  72 Oph   |       A5V       |   271.8374330392  |    9.56384725    | 8299 |  3.73 | 26.8107  |     --    |  65.0 |      5.5       |  4   |  1   |  0  | 2022-06-20 21:40 |
|  BD+05  4829  |       F2V       | 324.4297163540609 |  6.629020486923  | 7000 |  7.62 | 85.8097  |     --    |   --  |      5.1       |  2   |  1   |  1  | 2022-06-20 21:40 |
|   HD 191329   |       A3V       | 301.7977422711512 | 50.2295917184293 | 8414 |  6.53 | 214.4634 |     --    | 243.5 |      9.5       |  3   |  0   |  0  | 2022-06-20 21:40 |
